label,support,predicted_positive,tp,fp,fn,precision,recall,f1,auprc
Criminal Planning/Confessions,1420,1145,828,317,592,0.7231441048034934,0.5830985915492958,0.6456140350877193,0.740320846100853
Controlled/Regulated Substances,514,251,206,45,308,0.8207171314741036,0.40077821011673154,0.538562091503268,0.6672053242026755
Guns and Illegal Weapons,240,117,90,27,150,0.7692307692307693,0.375,0.5042016806722689,0.6013291123953288
PII/Privacy,376,149,118,31,258,0.7919463087248322,0.31382978723404253,0.44952380952380955,0.5918844474962709
Sexual,224,72,55,17,169,0.7638888888888888,0.24553571428571427,0.3716216216216216,0.47515389843915967
Hate/Identity Hate,450,140,86,54,364,0.6142857142857143,0.19111111111111112,0.29152542372881357,0.4607827370411458
Violence,504,143,90,53,414,0.6293706293706294,0.17857142857142858,0.2782071097372488,0.4533506605404456
Illegal Activity,372,84,60,24,312,0.7142857142857143,0.16129032258064516,0.2631578947368421,0.5248034619101061
Immoral/Unethical,376,31,17,14,359,0.5483870967741935,0.04521276595744681,0.08353808353808354,0.35669226499240186
Profanity,250,13,8,5,242,0.6153846153846154,0.032,0.060836501901140684,0.3557092600781224
Unauthorized Advice,198,7,4,3,194,0.5714285714285714,0.020202020202020204,0.03902439024390244,0.17846518330197186
Suicide and Self Harm,258,5,4,1,254,0.8,0.015503875968992248,0.030418250950570342,0.4781284302739793
Sexual (minor),144,3,2,1,142,0.6666666666666666,0.013888888888888888,0.027210884353741496,0.25594796475169507
Harassment,386,16,4,12,382,0.25,0.010362694300518135,0.01990049751243781,0.19581441288795318
Manipulation,220,8,2,6,218,0.25,0.00909090909090909,0.017543859649122806,0.2419584375909901
Needs Caution,614,2,1,1,613,0.5,0.0016286644951140066,0.003246753246753247,0.21920922092560427
Political/Misinformation/Conspiracy,138,0,0,0,138,0.0,0.0,0.0,0.13893879513963872
Threat,110,0,0,0,110,0.0,0.0,0.0,0.1522013194065286
Fraud/Deception,98,0,0,0,98,0.0,0.0,0.0,0.18374072316477194
Other,26,0,0,0,26,0.0,0.0,0.0,0.09611501393239723
Malware,24,0,0,0,24,0.0,0.0,0.0,0.07490998275886936
Copyright/Trademark/Plagiarism,12,0,0,0,12,0.0,0.0,0.0,0.003229655177168412
High Risk Gov Decision Making,12,0,0,0,12,0.0,0.0,0.0,0.009306237648184997
